svg,svg_id,label,status_text,status_color,modal_before,modal_after
Escenario1.svg,pez1,Mucho Pescado!,,#dee506,,
Escenario1.svg,meta1,Corta Temporada! 10 dias,,#dee506,,
Escenario1.svg,barco1,Pocos Barcos! 20 barcos,,#dee506,,
